urls,thumbnails_links,Titles,views,Date of Publish
https://www.youtube.com/watch?v=hzwEXoQDNCs,https://i.ytimg.com/vi/hzwEXoQDNCs/maxresdefault.jpg,Aarambh Batch 2024 | For CBSE Class 11th Commerce | Biggest Launch🔥,29005,2023-03-27
https://www.youtube.com/watch?v=0s6hAsFGxYE,https://i.ytimg.com/vi/0s6hAsFGxYE/maxresdefault.jpg,India's NO.1 Batch for Class 10th - UDAAN ⚡ Launching Today !! Check Description.,62284,2023-03-22
https://www.youtube.com/watch?v=YXRyMc_noiE,https://i.ytimg.com/vi/YXRyMc_noiE/maxresdefault.jpg,India's Biggest Scholarship Test for Classes 8th to 12th !! 🔥🔥 || PW SAT 2023 ⚡💥,79555,2023-03-21
https://www.youtube.com/watch?v=PI1obes98Zc,https://i.ytimg.com/vi/PI1obes98Zc/maxresdefault.jpg,How to score 95%+ in class 10th? Complete year Powerful Strategy!!,278730,2023-03-10
https://www.youtube.com/watch?v=16fUsD0M1-I,https://i.ytimg.com/vi/16fUsD0M1-I/maxresdefault.jpg,Last 4 Days Left For SST Exam || How To Manage to Score 80/80 in Boards || Class-10th,69375,2023-03-10
